Content, label
"[Web발신] 사랑하고 아끼면서 잘살겠습니다. 일시: 7월 27일 오후 1시, 모바일청첩장 URL", 1
"[민원24]쓰레기 무단투기로 단속되어 과태료 부과되였습니다.과태료확인: URL", 1
한국소비자원 중재를 통해 즉시 환불이 지급됩니다. 신청:URL, 1
[WEB 발신] 층간소음행위 1건 신고되었습니다. - 이의 제기 관할 경찰서 내역: URL, 1
"[한진택배] 미배달 도로명 불일치 변경 요망: URL", 1
"[CJ대한통운] 미배달 도로명 불일치 변경 요망: URL", 1
"[로젠택배] 미배달 도로명 불일치 변경 요망: URL", 1
"[롯데택배] 미배달 도로명 불일치 변경 요망: URL", 1
"[우체국택배] 미배달 도로명 불일치 변경 요망: URL", 1
추석 잘 보내시고 2024년 남은 시간 모두 행복한 시간 되시길 바랍니다 URL, 1
[Web 발신] 추석 선물로 백화점 모바일 상품권을 보내드립니다. 확인 바랍니다. URL, 1
[Web발신] 추석 연휴 맞이 전상품 70% 할인쿠폰을 드립니다. 아래 링크를 클릭하세요. URL, 1
[배송조회] 고객주소가 잘못되어 택배가 반송되었습니다. 배송지 수정은 URL, 1
[교통(이파인)] 신호위반 과태료 통지 발송완료. 과태료 조회 안내 -> URL, 1
[질병관리청] 귀하는 코로나 지원금 대상자에 선정되어 안내드립니다. 신청서 작성은 URL, 1
"[해외결제완료] 해외직구 요청하신 230,000원 결제완료. 본인이 아닐 시 고개센터 신고 URL", 1
추석 돈 나갈 일 많으시죠? 하루 30분이면 충분합니다. URL, 1
추석선물 도착 전 상품 무료 배송! 할인쿠폰 지급완료! 즉시 사용가능! 확인 URL, 1
설날에 찾아뵈야하는데 영상 으로나마 인사드립니다 청룡 의해 열심히 살겠습니다 URL, 1
아버지께서 어제 저녁여섯시 에 별세하셨기에 삼가 알려드 립니다. 장례식장, 1
설날 선물세트가 내일 배송 준비중입니다. 정확한 주소지(도로명) 기재해주세요 URL, 1
"[한진택배] 배송불가(주소불명). 수취인정보변경/확인해주세요 URL", 1
"[CJ대한통운] 배송불가(주소불명). 수취인정보변경/확인해주세요 URL", 1
"[로젠택배] 배송불가(주소불명). 수취인정보변경/확인해주세요 URL", 1
"[롯데택배] 배송불가(주소불명). 수취인정보변경/확인해주세요 URL", 1
"[우체국택배] 배송불가(주소불명). 수취인정보변경/확인해주세요 URL", 1
쿠팡맨 박**입니다. 주소지 오류 배송물품 지연중입니다 담당자 링크 URL, 1
교통법규위반으로 안내 [청구명령] 발부되었습니다. 조회 URL, 1
[교통 위반 알림] 귀하의 위반 사실 및 [납부안내] 참조 URL, 1
[WEB발신] 국민건강보험무료 암검진 대상이오니 꼭 암검진 받으세요 URL 1577-1000, 1
"신한은행 [WEB발신](광고) "행복을 함께 나누며 고객과 항상 소통하는 [신한은행]이 되겠습니다." 고객님 안녕하세요 당행에서 지원하는 긴급지원대출 한 도를 안내드렸었는데 신청이 없으셔서 다시 한번 안내문자드립니다. 확 후 신청바랍니다. 감사합니다. -상품안내- • 마이너스 부여 한도 발행 가능 • 서민금융 맞춤대출
• 고금리 대환자금 및 통합대출 (6개월 이내 휴•페업 영세소상공인 대상인 경우 별도 당행 심사기준 적용) - 지원조건- • 한도금액 : 1000만원~최대 2억원 • 상품금리 : 연 1.38%~6.32% 자금 소진시 변경 또는 조기마감 상담신청 : 02-573-0410 ※ 동시간 상담이 많을 경우 상담원 연결이 지연될 수 있으니 양해부탁드립니다. ※ 여신금융협회 심의필 제2023-C1h-01531호 무료거부 0801560054", 1
[모바일 초대] 결혼식 일시 : 08/19 (토) 11:00 많이많이와주세요 <skm.mediaquki.com/>, 1
[Web발신] 2024/07/18 층간소음행위 1건 신고되었습니다 - 이의제기 관할경찰서 방문내역 : t.lv/Vd 65n, 1
